"","site_id","name_of_wa","x","y","project_id","project__1","Type","Type2","geometry","ws_area","ws_perim","river_length","burn_pct","sever1_pct","sever2_pct","sever3_pct","sever4_pct","sever5_pct","lu_water_pct","lu_agri_pct","lu_other_pct","lu_urban_pct","lu_wetland_pct","slp_mean","slp_median","slp_std","slp_max","slp_min","aspect_mean","aspect_median","aspect_std","aspect_max","aspect_min","ELEV","PRECIP","wetland_area","wet_burn_pct","burned"
"1","NBS.86","Mill Race",-111.6547861,40.2018598,"Megafire","Baseline",20,"Urban","POINT (444273.3626120601 4450366.948565477)",7637979503,622653.8967,8208193.077,6.719805935,1.352749113,2.444429183,2.850667508,1.424709244,0.158342923,5.461522012,8.284298666,5.205580429,6.854508018,0.715656209,14.12662029,12.06138802,12.12993813,80.24620819,0,184.1575623,186.105957,103.2470245,359.9998779,0,NA,18.9,56324955.76,9.136512316,FALSE
"2","NBS.84","Hobble Creek",-111.6472769,40.18404211,"Megafire","PoleCreekFire",4,"Urban","POINT (444898.0418403993 4448384.58446269)",336238962.7,118126.0965,489895.8076,0,0,0,0,0,0,0.048277333,1.487711686,0.751729497,3.48225749,0.08872129,23.38434601,24.25392342,10.8908968,71.28905487,0,188.5813141,193.4921875,98.62038422,359.9998779,0,6980,21.7,2912187.528,0,TRUE
"3","NBS.85","Mitzubishi Race",-111.6473142,40.17457514,"Megafire","PoleCreekFire",0,"Urban","POINT (444887.2068707587 4447333.822652006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4540,26.7,NA,NA,NA
"4","NBS.83","Dry Creek",-111.6639116,40.15873574,"Megafire","Baseline",10,"Urban","POINT (443460.916134006 4445586.165622625)",1724187096,271337.4722,2222582.599,25.508212014,5.187122685,9.368223458,10.99425929,5.145729266,0.692152263,0.077188842,1.825252113,1.919650288,1.824737144,0.194700485,18.41704941,18.04416656,9.810869217,70.42533875,0,185.7323761,186.3361816,104.0766754,359.9998169,0,5700,21.1,14971753.93,30.62033123,FALSE
"5","NBS.82","Spanish Fork River",-111.71398,40.14066,"Megafire","PoleCreekFire",12,"Urban","POINT (439180.8319071354 4443612.92374217)",1741671351,280818.4769,2240257.027,25.286607589,5.139287614,9.287509951,10.9038367,5.095260938,0.685255573,0.087067548,2.306116732,1.826974987,1.954470458,0.206240174,18.35208702,17.9926796,9.888936043,70.42533875,0,186.2160187,187.5805969,103.9020767,359.9998169,0,7010,21.1,15245353.34,30.11841283,FALSE
"6","NBS.90","Benjamin Slough",-111.793,40.114,"Megafire","PoleCreekFire",9,"Urban","POINT (432423.0730735073 4440710.882122184)",321542859.9,86760.70626,262136.318,14.893784303,2.271672275,4.238253029,5.662106757,4.993424517,0.020992536,0.380339077,27.75256781,4.297046478,16.65215403,0.126665338,11.99745941,6.184182644,13.04841518,69.10759735,0,195.4190979,232.447525,123.0443573,359.9996948,0,5840,26,2011068.76,22.32148943,FALSE
"7","NBS.60","Peetneet Creek",-111.6932649,39.96891852,"Megafire","PoleCreekFire",2,"Natural","POINT (440797.0237139522 4424536.906975157)",51867516.61,30979.02759,64310.94234,55.15301651,8.901525082,16.14247326,20.95242015,18.0581231,0.017351901,0.491462812,0,0,0.304490018,0,16.47149086,14.34823608,9.700883865,62.34035492,0,175.1324463,176.983551,118.5627823,359.9986572,0,7680,27.3,465029.2387,63.15361516,FALSE
"8","NBS.12","Spanish Fork River",-111.5439866,40.04151099,"Megafire","PoleCreekFire",8,"Natural","POINT (453594.4586885684 4432505.609735549)",1600839804,250513.9683,2098004.522,27.394783593,5.575498546,10.04851326,11.82496834,5.521301993,0.745146389,0.056047915,1.115196998,1.864479041,0.440552579,0.164758855,18.29887581,17.87853241,9.246401787,70.42533875,0,183.8826599,182.2340088,103.3488922,359.9998169,0,7110,21.1,13984023.04,32.65904981,FALSE
"9","NBS.89","Provo River",-111.6739932,40.24479487,"Megafire","Baseline",2,"Urban","POINT (442674.8730545363 4455144.796586459)",1768521888,279167.1509,2027773.01,0,0,0,0,0,0,1.676038734,4.256143863,1.351838075,5.195584764,0.406522177,15.66760445,13.72635555,11.06466293,79.39516449,0,189.5802765,201.4343109,103.5672684,359.9998169,0,8140,36.4,14362905.6,0,TRUE
"10","NBS.05","Little Diamond",-111.4400389,40.06704355,"MegaFire","mixedbaselinecitsci",1,"Natural_B","POINT (462476.0902151123 4435290.524525613)",19908653.39,26372.53381,28845.71656,47.719952801,11.509568,27.08319792,16.45063549,4.186119391,1.604829788,0.012585547,0.226772389,0,0,0,22.82912254,22.96101379,9.325389862,61.07021332,0.058303867,145.8865509,127.845932,86.47386169,359.9942017,0.001045702,7020,24.6,146540.076,53.82614239,FALSE
